x_dist,y_dist,xvel,yvel
3.710018945,431.9,0,0
3.710018945,431.9,-0.1,0.04
3.670018945,432,-0.2,0
3.670018945,432.2,-0.1,0.04
3.630018945,432.3,0,0
3.630018945,432.3,0.1,0.04
3.590018945,432.2,0.2,0
3.590018945,432,0.3,0.04
3.550018945,431.7,0.4,0
3.550018945,431.3,0.5,0.04
3.510018945,430.8,0.6,0
3.510018945,430.2,0.7,0.04
3.470018945,429.5,0.8,0
3.470018945,428.7,0.9,0.04
3.430018945,427.8,1,0
3.430018945,426.8,1.1,0.04
3.390018945,425.7,1.2,0
3.390018945,424.5,1.3,0.04
3.350018945,423.2,1.4,0
3.350018945,421.8,1.5,0.04
3.310018945,420.3,1.6,0
3.310018945,418.7,1.7,0.04
3.270018945,417,1.8,0
3.270018945,415.2,1.9,0.04
3.230018945,413.3,2,0
3.230018945,411.3,2.1,0.04
3.190018945,409.2,2.2,0
3.190018945,407,2.3,0.04
3.150018945,404.7,2.4,0
3.150018945,402.3,2.5,0.04
3.110018945,399.8,2.6,0
3.110018945,397.2,2.7,0.04
3.070018945,394.5,2.8,0
3.070018945,391.7,2.9,0.04
3.030018945,388.8,3,0
3.030018945,385.8,3.1,0.04
2.990018945,382.7,3.2,0
2.990018945,379.5,3.3,0.04
2.950018945,376.2,3.4,0
2.950018945,372.8,3.5,0.04
2.910018945,369.3,3.6,0
2.910018945,365.7,3.7,0.04
2.870018945,362,3.8,0
2.870018945,358.2,3.9,0.04
2.830018945,354.3,4,0
2.830018945,350.3,4.1,0.04
2.790018945,346.2,4.2,0
2.790018945,342,4.3,0.04
2.750018945,337.7,4.4,0
2.750018945,333.3,4.5,0.04
2.710018945,328.8,4.6,0
2.710018945,324.2,4.7,0.04
2.670018945,319.5,4.8,0
2.670018945,314.7,4.9,0.04
2.630018945,309.8,5,0
2.630018945,304.8,5.1,0.04
2.590018945,299.7,5.2,0
2.590018945,294.5,5.3,0.04
2.550018945,289.2,5.4,0
2.550018945,283.8,5.5,0.04
2.510018945,278.3,5.6,0
2.510018945,272.7,5.7,0.04
2.470018945,267,5.8,0
2.470018945,261.2,5.9,0.04
2.430018945,255.3,6,0
2.430018945,249.3,6.1,0.04
2.390018945,243.2,6.2,0
2.390018945,237,6.3,0.04
2.350018945,230.7,6.4,0
2.350018945,224.3,6.5,0.04
2.310018945,217.8,6.6,0
2.310018945,211.2,6.7,0.04
